Afar,aar-Latn,
Albanian,sqi-Latn,
Amharic,amh-Ethi,amh-Ethi-pp,amh-Ethi-red,
Arabic,ara-Arab,
Assyrian Neo-Aramaic,aii-Syrc,
Avaric,ava-Cyrl,
Azerbaijani,aze-Latn,aze-Cyrl,
Bukusu,bxk-Latn,
Burmese,mya-Mymr,
Catalan,cat-Latn,
Cebuano,ceb-Latn,
Chichewa,nya-Latn,
Croatian,hrv-Latn,
Czech,ces-Latn,
Dutch,nld-Latn,
Farsi,fas-Arab,
French,fra-Latn,fra-Latn-np,fra-Latn-p,
Fulah,ful-Latn,
Gan,gan-Latn,
German,deu-Latn,deu-Latn-np,deu-Latn-nar,
Gothic,got-Latn,
Hakka,hak-Latn,
Hausa,hau-Latn,
Hmong,hmn-Latn,
Hokkien,nan-Latn-tl,nan-Latn,
Hungarian,hun-Latn,
Ilocano,ilo-Latn,
Indonesian,ind-Latn,
Jamaican,jam-Latn,
Javanese,jav-Latn,
Jin,cjy-Latn,
Kabardian,kbd-Cyrl,
Kashubian,csb-Latn,
Kazakh,kaz-Cyrl-bab,kaz-Cyrl,kaz-Latn,
Khmer,khm-Khmr,
Kinyarwanda,kin-Latn,
Kurmanji,kmr-Latn,kur-Latn-red,
Kyrgyz,kir-Cyrl,kir-Arab,kir-Latn,
Lao,lao-Laoo,
Malay,msa-Latn,
Maltese,mlt-Latn,
Mandarin,cmn-Hans,cmn-Hant,cmn-Latn,
Maori,mri-Latn,
Middle Chinese,ltc-Latn-bax,
Mongolian,mon-Cyrl,
Oromo,orm-Latn,
Polish,pol-Latn,
Porteguese,por-Latn,	
Romanian,ron-Latn,
Rundi,run-Latn,
Russian,rus-Cyrl,
Saamia,lsm-Latn,
Sango,sag-Latn,
Shanghainese Wu,wuu-Latn,
Shona,sna-Latn,
Sinhala,sin-Sinh,
Somali,som-Latn,
Sorani,ckb-Arab,
Spanish,spa-Latn,spa-Latn-eu
Swahili,swa-Latn,swa-Latn-red,
Swedish,swe-Latn,
Tagalog,tgl-Latn,tgl-Latn-red,
Tajik,tgk-Cyrl,
Thai,tha-Thai,
Tigrinya,tir-Ethi,tir-Ethi-pp,tir-Ethi-red,
Tohono O'odham,ood-Latn-sax,ood-Lat-alv,
Tok Pisin,tpi-Latn,
Turkish,tur-Latn,tur-Latn-nosuf,
Turkmen,tuk-Latn,tuk-Cyrl,
Ukranian,ukr-Cyrl,
Uyghur,uig-Arab,
Uzbek,uzb-Latn,uzb-Cyrl,
Vietnamese,vie-Latn,
Xhosa,xho-Latn,
Xiang,hsn-Latn,
Yoruba,yor-Latn,
Zhuang,zha-Latn,
Zulu,zul-Latn